circuit_key,circuit_name
2.0,Silverstone
4.0,Hungaroring
6.0,Imola
7.0,Spa-Francorchamps
9.0,Austin
10.0,Melbourne
14.0,Interlagos
15.0,Catalunya
19.0,Spielberg
22.0,Monte Carlo
23.0,Montreal
28.0,Paul Ricard
34.0,Hockenheim
39.0,Monza
46.0,Suzuka
49.0,Shanghai
55.0,Zandvoort
59.0,Istanbul
61.0,Singapore
63.0,Sakhir
65.0,Mexico City
70.0,Yas Marina Circuit
72.0,Nürburgring
79.0,Sochi
144.0,Baku
147.0,Algarve International Circuit
148.0,Sakhir Outer Track
149.0,Mugello
150.0,Losail
151.0,Miami
152.0,Las Vegas
