year,driver,team_name,team_lineage,circuit_key,session_1_type,session_1_avg_lap_time,session_1_starting_air_temp,session_1_starting_humidity,session_1_starting_pressure,session_1_starting_rainfall,session_1_starting_track_temp,session_1_starting_wind_direction,session_1_starting_wind_speed,session_1_ending_air_temp,session_1_ending_humidity,session_1_ending_pressure,session_1_ending_rainfall,session_1_ending_track_temp,session_1_ending_wind_direction,session_1_ending_wind_speed,session_2_type,session_2_avg_lap_time,session_2_starting_air_temp,session_2_starting_humidity,session_2_starting_pressure,session_2_starting_rainfall,session_2_starting_track_temp,session_2_starting_wind_direction,session_2_starting_wind_speed,session_2_ending_air_temp,session_2_ending_humidity,session_2_ending_pressure,session_2_ending_rainfall,session_2_ending_track_temp,session_2_ending_wind_direction,session_2_ending_wind_speed,session_2_final_position,session_2_q1_best_lap,session_2_q2_best_lap,session_2_q3_best_lap,session_2_gap_to_fastest,session_3_type,session_3_avg_lap_time,session_3_starting_air_temp,session_3_starting_humidity,session_3_starting_pressure,session_3_starting_rainfall,session_3_starting_track_temp,session_3_starting_wind_direction,session_3_starting_wind_speed,session_3_ending_air_temp,session_3_ending_humidity,session_3_ending_pressure,session_3_ending_rainfall,session_3_ending_track_temp,session_3_ending_wind_direction,session_3_ending_wind_speed,session_3_final_position,session_3_q1_best_lap,session_3_q2_best_lap,session_3_q3_best_lap,session_3_gap_to_fastest,session_4_type,session_4_final_position,session_4_q1_best_lap,session_4_q2_best_lap,session_4_q3_best_lap,session_4_gap_to_fastest,session_4_starting_air_temp,session_4_starting_humidity,session_4_starting_pressure,session_4_starting_rainfall,session_4_starting_track_temp,session_4_starting_wind_direction,session_4_starting_wind_speed,session_4_ending_air_temp,session_4_ending_humidity,session_4_ending_pressure,session_4_ending_rainfall,session_4_ending_track_temp,session_4_ending_wind_direction,session_4_ending_wind_speed,session_4_avg_lap_time,session_5_type,session_5_final_position,session_5_starting_air_temp,session_5_starting_humidity,session_5_starting_pressure,session_5_starting_rainfall,session_5_starting_track_temp,session_5_starting_wind_direction,session_5_starting_wind_speed,session_5_ending_air_temp,session_5_ending_humidity,session_5_ending_pressure,session_5_ending_rainfall,session_5_ending_track_temp,session_5_ending_wind_direction,session_5_ending_wind_speed,session_1_missing_avg_lap_time,session_2_missing_avg_lap_time,session_2_missing_final_position,session_2_missed_qualifying,session_2_missing_fastest_lap,session_3_missing_avg_lap_time,session_3_missing_final_position,session_3_missed_qualifying,session_3_missing_fastest_lap,session_4_missing_final_position,session_4_missed_qualifying,session_4_missing_fastest_lap,session_4_missing_avg_lap_time
2018,0,0,0,10.0,4,100.20245454545451,25.3,36.7,1020.2,False,38.5,330.0,2.6,28.5,31.4,1017.8,False,43.8,330.0,1.3,4,97.29003448275864,28.9,27.7,1015.3,False,43.0,210.0,0.7,30.0,24.4,1015.0,False,39.8,199.0,0.4,-1.0,-1.0,-1.0,-1.0,-1.0,4,105.89499999999998,18.6,92.3,1011.5,True,22.2,311.0,1.0,21.0,81.4,1009.6,False,28.3,334.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8,12.0,84.073,83.853,-3.0,2.688999999999993,24.7,58.8,1007.9,False,32.0,307.0,1.3,24.2,63.4,1007.9,False,29.1,356.0,0.8,-1.0,10,9.0,24.1,36.2,997.1,False,38.2,294.0,3.0,24.3,30.9,997.2,True,32.6,278.0,4.2,False,False,True,False,True,False,True,False,True,False,False,False,False
2018,1,1,1,10.0,4,100.2955238095238,25.3,36.7,1020.2,False,38.5,330.0,2.6,28.5,31.4,1017.8,False,43.8,330.0,1.3,4,97.70036,28.9,27.7,1015.3,False,43.0,210.0,0.7,30.0,24.4,1015.0,False,39.8,199.0,0.4,-1.0,-1.0,-1.0,-1.0,-1.0,4,103.164,18.6,92.3,1011.5,True,22.2,311.0,1.0,21.0,81.4,1009.6,False,28.3,334.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8,5.0,83.494,82.897,82.152,0.9879999999999995,24.7,58.8,1007.9,False,32.0,307.0,1.3,24.2,63.4,1007.9,False,29.1,356.0,0.8,-1.0,10,4.0,24.1,36.2,997.1,False,38.2,294.0,3.0,24.3,30.9,997.2,True,32.6,278.0,4.2,False,False,True,False,True,False,True,False,True,False,False,False,False
2018,2,2,2,10.0,4,93.7700588235294,25.3,36.7,1020.2,False,38.5,330.0,2.6,28.5,31.4,1017.8,False,43.8,330.0,1.3,4,97.38038235294118,28.9,27.7,1015.3,False,43.0,210.0,0.7,30.0,24.4,1015.0,False,39.8,199.0,0.4,-1.0,-1.0,-1.0,-1.0,-1.0,4,103.65646153846154,18.6,92.3,1011.5,True,22.2,311.0,1.0,21.0,81.4,1009.6,False,28.3,334.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8,3.0,83.348,81.944,81.838,0.6739999999999924,24.7,58.8,1007.9,False,32.0,307.0,1.3,24.2,63.4,1007.9,False,29.1,356.0,0.8,-1.0,10,1.0,24.1,36.2,997.1,False,38.2,294.0,3.0,24.3,30.9,997.2,True,32.6,278.0,4.2,False,False,True,False,True,False,True,False,True,False,False,False,False
2018,3,2,2,10.0,4,94.62561111111113,25.3,36.7,1020.2,False,38.5,330.0,2.6,28.5,31.4,1017.8,False,43.8,330.0,1.3,4,97.0732,28.9,27.7,1015.3,False,43.0,210.0,0.7,30.0,24.4,1015.0,False,39.8,199.0,0.4,-1.0,-1.0,-1.0,-1.0,-1.0,4,107.185,18.6,92.3,1011.5,True,22.2,311.0,1.0,21.0,81.4,1009.6,False,28.3,334.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8,2.0,83.096,82.507,81.828,0.6640000000000015,24.7,58.8,1007.9,False,32.0,307.0,1.3,24.2,63.4,1007.9,False,29.1,356.0,0.8,-1.0,10,3.0,24.1,36.2,997.1,False,38.2,294.0,3.0,24.3,30.9,997.2,True,32.6,278.0,4.2,False,False,True,False,True,False,True,False,True,False,False,False,False
2018,4,3,3,10.0,4,94.64968421052632,25.3,36.7,1020.2,False,38.5,330.0,2.6,28.5,31.4,1017.8,False,43.8,330.0,1.3,4,95.59929032258064,28.9,27.7,1015.3,False,43.0,210.0,0.7,30.0,24.4,1015.0,False,39.8,199.0,0.4,-1.0,-1.0,-1.0,-1.0,-1.0,4,106.27025,18.6,92.3,1011.5,True,22.2,311.0,1.0,21.0,81.4,1009.6,False,28.3,334.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8,7.0,83.671,83.468,83.339,2.174999999999997,24.7,58.8,1007.9,False,32.0,307.0,1.3,24.2,63.4,1007.9,False,29.1,356.0,0.8,-1.0,10,16.0,24.1,36.2,997.1,False,38.2,294.0,3.0,24.3,30.9,997.2,True,32.6,278.0,4.2,False,False,True,False,True,False,True,False,True,False,False,False,False
2018,5,4,4,10.0,4,98.2101304347826,25.3,36.7,1020.2,False,38.5,330.0,2.6,28.5,31.4,1017.8,False,43.8,330.0,1.3,4,99.04651851851852,28.9,27.7,1015.3,False,43.0,210.0,0.7,30.0,24.4,1015.0,False,39.8,199.0,0.4,-1.0,-1.0,-1.0,-1.0,-1.0,4,106.17863636363636,18.6,92.3,1011.5,True,22.2,311.0,1.0,21.0,81.4,1009.6,False,28.3,334.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8,17.0,84.556,-3.0,-3.0,3.391999999999996,24.7,58.8,1007.9,False,32.0,307.0,1.3,24.2,63.4,1007.9,False,29.1,356.0,0.8,-1.0,10,19.0,24.1,36.2,997.1,False,38.2,294.0,3.0,24.3,30.9,997.2,True,32.6,278.0,4.2,False,False,True,False,True,False,True,False,True,False,False,False,False
2018,6,5,5,10.0,4,101.466,25.3,36.7,1020.2,False,38.5,330.0,2.6,28.5,31.4,1017.8,False,43.8,330.0,1.3,4,97.1221388888889,28.9,27.7,1015.3,False,43.0,210.0,0.7,30.0,24.4,1015.0,False,39.8,199.0,0.4,-1.0,-1.0,-1.0,-1.0,-1.0,4,105.39383333333336,18.6,92.3,1011.5,True,22.2,311.0,1.0,21.0,81.4,1009.6,False,28.3,334.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8,20.0,85.295,-3.0,-3.0,4.131,24.7,58.8,1007.9,False,32.0,307.0,1.3,24.2,63.4,1007.9,False,29.1,356.0,0.8,-1.0,10,18.0,24.1,36.2,997.1,False,38.2,294.0,3.0,24.3,30.9,997.2,True,32.6,278.0,4.2,False,False,True,False,True,False,True,False,True,False,False,False,False
2018,7,6,6,10.0,4,95.4495238095238,25.3,36.7,1020.2,False,38.5,330.0,2.6,28.5,31.4,1017.8,False,43.8,330.0,1.3,4,95.50480000000002,28.9,27.7,1015.3,False,43.0,210.0,0.7,30.0,24.4,1015.0,False,39.8,199.0,0.4,-1.0,-1.0,-1.0,-1.0,-1.0,4,-2.0,18.6,92.3,1011.5,True,22.2,311.0,1.0,21.0,81.4,1009.6,False,28.3,334.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8,13.0,84.344,84.005,-3.0,2.840999999999994,24.7,58.8,1007.9,False,32.0,307.0,1.3,24.2,63.4,1007.9,False,29.1,356.0,0.8,-1.0,10,11.0,24.1,36.2,997.1,False,38.2,294.0,3.0,24.3,30.9,997.2,True,32.6,278.0,4.2,False,False,True,False,True,True,True,False,True,False,False,False,False
2018,8,0,0,10.0,4,93.45354545454546,25.3,36.7,1020.2,False,38.5,330.0,2.6,28.5,31.4,1017.8,False,43.8,330.0,1.3,4,98.449,28.9,27.7,1015.3,False,43.0,210.0,0.7,30.0,24.4,1015.0,False,39.8,199.0,0.4,-1.0,-1.0,-1.0,-1.0,-1.0,4,105.18766666666666,18.6,92.3,1011.5,True,22.2,311.0,1.0,21.0,81.4,1009.6,False,28.3,334.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8,11.0,83.597,83.692,-3.0,2.5279999999999916,24.7,58.8,1007.9,False,32.0,307.0,1.3,24.2,63.4,1007.9,False,29.1,356.0,0.8,-1.0,10,5.0,24.1,36.2,997.1,False,38.2,294.0,3.0,24.3,30.9,997.2,True,32.6,278.0,4.2,False,False,True,False,True,False,True,False,True,False,False,False,False
2018,9,4,4,10.0,4,99.65125,25.3,36.7,1020.2,False,38.5,330.0,2.6,28.5,31.4,1017.8,False,43.8,330.0,1.3,4,98.87928125,28.9,27.7,1015.3,False,43.0,210.0,0.7,30.0,24.4,1015.0,False,39.8,199.0,0.4,-1.0,-1.0,-1.0,-1.0,-1.0,4,106.12233333333332,18.6,92.3,1011.5,True,22.2,311.0,1.0,21.0,81.4,1009.6,False,28.3,334.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8,18.0,84.636,-3.0,-3.0,3.471999999999994,24.7,58.8,1007.9,False,32.0,307.0,1.3,24.2,63.4,1007.9,False,29.1,356.0,0.8,-1.0,10,13.0,24.1,36.2,997.1,False,38.2,294.0,3.0,24.3,30.9,997.2,True,32.6,278.0,4.2,False,False,True,False,True,False,True,False,True,False,False,False,False
