driver_name,driver_number,team_name,session_1_type,circuit_name,circuit_key,event_name,session_1_avg_lap_time,session_1_starting_air_temp,session_1_starting_humidity,session_1_starting_pressure,session_1_starting_rainfall,session_1_starting_track_temp,session_1_starting_wind_direction,session_1_starting_wind_speed,session_1_ending_air_temp,session_1_ending_humidity,session_1_ending_pressure,session_1_ending_rainfall,session_1_ending_track_temp,session_1_ending_wind_direction,session_1_ending_wind_speed,session_2_type,session_2_avg_lap_time,session_2_starting_air_temp,session_2_starting_humidity,session_2_starting_pressure,session_2_starting_rainfall,session_2_starting_track_temp,session_2_starting_wind_direction,session_2_starting_wind_speed,session_2_ending_air_temp,session_2_ending_humidity,session_2_ending_pressure,session_2_ending_rainfall,session_2_ending_track_temp,session_2_ending_wind_direction,session_2_ending_wind_speed,session_3_type,session_3_avg_lap_time,session_3_starting_air_temp,session_3_starting_humidity,session_3_starting_pressure,session_3_starting_rainfall,session_3_starting_track_temp,session_3_starting_wind_direction,session_3_starting_wind_speed,session_3_ending_air_temp,session_3_ending_humidity,session_3_ending_pressure,session_3_ending_rainfall,session_3_ending_track_temp,session_3_ending_wind_direction,session_3_ending_wind_speed,session_4_type,session_4_final_position,session_4_q1_best_lap,session_4_q2_best_lap,session_4_q3_best_lap,session_4_gap_to_pole,session_4_starting_air_temp,session_4_starting_humidity,session_4_starting_pressure,session_4_starting_rainfall,session_4_starting_track_temp,session_4_starting_wind_direction,session_4_starting_wind_speed,session_4_ending_air_temp,session_4_ending_humidity,session_4_ending_pressure,session_4_ending_rainfall,session_4_ending_track_temp,session_4_ending_wind_direction,session_4_ending_wind_speed,session_5_type,session_5_final_position,session_5_avg_lap_time,session_5_starting_air_temp,session_5_starting_humidity,session_5_starting_pressure,session_5_starting_rainfall,session_5_starting_track_temp,session_5_starting_wind_direction,session_5_starting_wind_speed,session_5_ending_air_temp,session_5_ending_humidity,session_5_ending_pressure,session_5_ending_rainfall,session_5_ending_track_temp,session_5_ending_wind_direction,session_5_ending_wind_speed,year,session_3_final_position,session_2_final_position,session_2_q1_best_lap,session_2_q2_best_lap,session_2_q3_best_lap,session_2_gap_to_pole,session_4_avg_lap_time,session_3_q1_best_lap,session_3_q2_best_lap,session_3_q3_best_lap,session_3_gap_to_pole
S VANDOORNE,2,McLaren,Practice,Melbourne,10.0,Australian Grand Prix,100.20245454545451,25.3,36.7,1020.2,False,38.5,330.0,2.6,28.5,31.4,1017.8,False,43.8,330.0,1.3,Practice,97.29003448275864,28.9,27.7,1015.3,False,43.0,210.0,0.7,30.0,24.4,1015.0,False,39.8,199.0,0.4,Practice,105.89499999999998,18.6,92.3,1011.5,True,22.2,311.0,1.0,21.0,81.4,1009.6,False,28.3,334.0,1.0,Qualifying,12.0,,,,,24.7,58.8,1007.9,False,32.0,307.0,1.3,24.2,63.4,1007.9,False,29.1,356.0,0.8,Race,9.0,93.24489655172414,24.1,36.2,997.1,False,38.2,294.0,3.0,24.3,30.9,997.2,True,32.6,278.0,4.2,2018,,,,,,,,,,,
D RICCIARDO,3,Red Bull Racing,Practice,Melbourne,10.0,Australian Grand Prix,100.2955238095238,25.3,36.7,1020.2,False,38.5,330.0,2.6,28.5,31.4,1017.8,False,43.8,330.0,1.3,Practice,97.70036,28.9,27.7,1015.3,False,43.0,210.0,0.7,30.0,24.4,1015.0,False,39.8,199.0,0.4,Practice,103.164,18.6,92.3,1011.5,True,22.2,311.0,1.0,21.0,81.4,1009.6,False,28.3,334.0,1.0,Qualifying,5.0,,,,,24.7,58.8,1007.9,False,32.0,307.0,1.3,24.2,63.4,1007.9,False,29.1,356.0,0.8,Race,4.0,92.76468965517242,24.1,36.2,997.1,False,38.2,294.0,3.0,24.3,30.9,997.2,True,32.6,278.0,4.2,2018,,,,,,,,,,,
S VETTEL,5,Ferrari,Practice,Melbourne,10.0,Australian Grand Prix,93.7700588235294,25.3,36.7,1020.2,False,38.5,330.0,2.6,28.5,31.4,1017.8,False,43.8,330.0,1.3,Practice,97.38038235294118,28.9,27.7,1015.3,False,43.0,210.0,0.7,30.0,24.4,1015.0,False,39.8,199.0,0.4,Practice,103.65646153846154,18.6,92.3,1011.5,True,22.2,311.0,1.0,21.0,81.4,1009.6,False,28.3,334.0,1.0,Qualifying,3.0,,,,,24.7,58.8,1007.9,False,32.0,307.0,1.3,24.2,63.4,1007.9,False,29.1,356.0,0.8,Race,1.0,92.6428103448276,24.1,36.2,997.1,False,38.2,294.0,3.0,24.3,30.9,997.2,True,32.6,278.0,4.2,2018,,,,,,,,,,,
K RAIKKONEN,7,Ferrari,Practice,Melbourne,10.0,Australian Grand Prix,94.62561111111113,25.3,36.7,1020.2,False,38.5,330.0,2.6,28.5,31.4,1017.8,False,43.8,330.0,1.3,Practice,97.0732,28.9,27.7,1015.3,False,43.0,210.0,0.7,30.0,24.4,1015.0,False,39.8,199.0,0.4,Practice,107.185,18.6,92.3,1011.5,True,22.2,311.0,1.0,21.0,81.4,1009.6,False,28.3,334.0,1.0,Qualifying,2.0,,,,,24.7,58.8,1007.9,False,32.0,307.0,1.3,24.2,63.4,1007.9,False,29.1,356.0,0.8,Race,3.0,92.75158620689656,24.1,36.2,997.1,False,38.2,294.0,3.0,24.3,30.9,997.2,True,32.6,278.0,4.2,2018,,,,,,,,,,,
R GROSJEAN,8,Haas F1 Team,Practice,Melbourne,10.0,Australian Grand Prix,94.64968421052632,25.3,36.7,1020.2,False,38.5,330.0,2.6,28.5,31.4,1017.8,False,43.8,330.0,1.3,Practice,95.59929032258064,28.9,27.7,1015.3,False,43.0,210.0,0.7,30.0,24.4,1015.0,False,39.8,199.0,0.4,Practice,106.27025,18.6,92.3,1011.5,True,22.2,311.0,1.0,21.0,81.4,1009.6,False,28.3,334.0,1.0,Qualifying,7.0,,,,,24.7,58.8,1007.9,False,32.0,307.0,1.3,24.2,63.4,1007.9,False,29.1,356.0,0.8,Race,16.0,91.36991666666664,24.1,36.2,997.1,False,38.2,294.0,3.0,24.3,30.9,997.2,True,32.6,278.0,4.2,2018,,,,,,,,,,,
M ERICSSON,9,Sauber,Practice,Melbourne,10.0,Australian Grand Prix,98.2101304347826,25.3,36.7,1020.2,False,38.5,330.0,2.6,28.5,31.4,1017.8,False,43.8,330.0,1.3,Practice,99.04651851851852,28.9,27.7,1015.3,False,43.0,210.0,0.7,30.0,24.4,1015.0,False,39.8,199.0,0.4,Practice,106.17863636363636,18.6,92.3,1011.5,True,22.2,311.0,1.0,21.0,81.4,1009.6,False,28.3,334.0,1.0,Qualifying,17.0,,,,,24.7,58.8,1007.9,False,32.0,307.0,1.3,24.2,63.4,1007.9,False,29.1,356.0,0.8,Race,19.0,95.01919999999998,24.1,36.2,997.1,False,38.2,294.0,3.0,24.3,30.9,997.2,True,32.6,278.0,4.2,2018,,,,,,,,,,,
P GASLY,10,Toro Rosso,Practice,Melbourne,10.0,Australian Grand Prix,101.466,25.3,36.7,1020.2,False,38.5,330.0,2.6,28.5,31.4,1017.8,False,43.8,330.0,1.3,Practice,97.1221388888889,28.9,27.7,1015.3,False,43.0,210.0,0.7,30.0,24.4,1015.0,False,39.8,199.0,0.4,Practice,105.39383333333336,18.6,92.3,1011.5,True,22.2,311.0,1.0,21.0,81.4,1009.6,False,28.3,334.0,1.0,Qualifying,20.0,,,,,24.7,58.8,1007.9,False,32.0,307.0,1.3,24.2,63.4,1007.9,False,29.1,356.0,0.8,Race,18.0,93.18853846153846,24.1,36.2,997.1,False,38.2,294.0,3.0,24.3,30.9,997.2,True,32.6,278.0,4.2,2018,,,,,,,,,,,
S PEREZ,11,Force India,Practice,Melbourne,10.0,Australian Grand Prix,95.4495238095238,25.3,36.7,1020.2,False,38.5,330.0,2.6,28.5,31.4,1017.8,False,43.8,330.0,1.3,Practice,95.50480000000002,28.9,27.7,1015.3,False,43.0,210.0,0.7,30.0,24.4,1015.0,False,39.8,199.0,0.4,Practice,,18.6,92.3,1011.5,True,22.2,311.0,1.0,21.0,81.4,1009.6,False,28.3,334.0,1.0,Qualifying,13.0,,,,,24.7,58.8,1007.9,False,32.0,307.0,1.3,24.2,63.4,1007.9,False,29.1,356.0,0.8,Race,11.0,93.45,24.1,36.2,997.1,False,38.2,294.0,3.0,24.3,30.9,997.2,True,32.6,278.0,4.2,2018,,,,,,,,,,,
F ALONSO,14,McLaren,Practice,Melbourne,10.0,Australian Grand Prix,93.45354545454546,25.3,36.7,1020.2,False,38.5,330.0,2.6,28.5,31.4,1017.8,False,43.8,330.0,1.3,Practice,98.449,28.9,27.7,1015.3,False,43.0,210.0,0.7,30.0,24.4,1015.0,False,39.8,199.0,0.4,Practice,105.18766666666666,18.6,92.3,1011.5,True,22.2,311.0,1.0,21.0,81.4,1009.6,False,28.3,334.0,1.0,Qualifying,11.0,,,,,24.7,58.8,1007.9,False,32.0,307.0,1.3,24.2,63.4,1007.9,False,29.1,356.0,0.8,Race,5.0,93.12360344827586,24.1,36.2,997.1,False,38.2,294.0,3.0,24.3,30.9,997.2,True,32.6,278.0,4.2,2018,,,,,,,,,,,
C LECLERC,16,Sauber,Practice,Melbourne,10.0,Australian Grand Prix,99.65125,25.3,36.7,1020.2,False,38.5,330.0,2.6,28.5,31.4,1017.8,False,43.8,330.0,1.3,Practice,98.87928125,28.9,27.7,1015.3,False,43.0,210.0,0.7,30.0,24.4,1015.0,False,39.8,199.0,0.4,Practice,106.12233333333332,18.6,92.3,1011.5,True,22.2,311.0,1.0,21.0,81.4,1009.6,False,28.3,334.0,1.0,Qualifying,18.0,,,,,24.7,58.8,1007.9,False,32.0,307.0,1.3,24.2,63.4,1007.9,False,29.1,356.0,0.8,Race,13.0,93.949,24.1,36.2,997.1,False,38.2,294.0,3.0,24.3,30.9,997.2,True,32.6,278.0,4.2,2018,,,,,,,,,,,
