driver_name,driver_number,team_name,session_1_type,circuit_name,circuit_key,event_name,session_1_avg_lap_time,session_1_starting_air_temp,session_1_starting_humidity,session_1_starting_pressure,session_1_starting_rainfall,session_1_starting_track_temp,session_1_starting_wind_direction,session_1_starting_wind_speed,session_1_ending_air_temp,session_1_ending_humidity,session_1_ending_pressure,session_1_ending_rainfall,session_1_ending_track_temp,session_1_ending_wind_direction,session_1_ending_wind_speed,session_2_type,session_2_avg_lap_time,session_2_starting_air_temp,session_2_starting_humidity,session_2_starting_pressure,session_2_starting_rainfall,session_2_starting_track_temp,session_2_starting_wind_direction,session_2_starting_wind_speed,session_2_ending_air_temp,session_2_ending_humidity,session_2_ending_pressure,session_2_ending_rainfall,session_2_ending_track_temp,session_2_ending_wind_direction,session_2_ending_wind_speed,session_3_type,session_3_avg_lap_time,session_3_starting_air_temp,session_3_starting_humidity,session_3_starting_pressure,session_3_starting_rainfall,session_3_starting_track_temp,session_3_starting_wind_direction,session_3_starting_wind_speed,session_3_ending_air_temp,session_3_ending_humidity,session_3_ending_pressure,session_3_ending_rainfall,session_3_ending_track_temp,session_3_ending_wind_direction,session_3_ending_wind_speed,session_4_type,session_4_final_position,session_4_q1_best_lap,session_4_q2_best_lap,session_4_q3_best_lap,session_4_gap_to_fastest,session_4_starting_air_temp,session_4_starting_humidity,session_4_starting_pressure,session_4_starting_rainfall,session_4_starting_track_temp,session_4_starting_wind_direction,session_4_starting_wind_speed,session_4_ending_air_temp,session_4_ending_humidity,session_4_ending_pressure,session_4_ending_rainfall,session_4_ending_track_temp,session_4_ending_wind_direction,session_4_ending_wind_speed,session_5_type,session_5_final_position,session_5_avg_lap_time,session_5_starting_air_temp,session_5_starting_humidity,session_5_starting_pressure,session_5_starting_rainfall,session_5_starting_track_temp,session_5_starting_wind_direction,session_5_starting_wind_speed,session_5_ending_air_temp,session_5_ending_humidity,session_5_ending_pressure,session_5_ending_rainfall,session_5_ending_track_temp,session_5_ending_wind_direction,session_5_ending_wind_speed,year,session_3_final_position
D RICCIARDO,3,Renault,Practice,Melbourne,10,Australian Grand Prix,106.76475,20.7,50.4,1019.7,False,31.6,156,1.5,21.3,52.2,1019.1,False,42.2,226,1.5,Practice,97.26296428571432,22.0,53.2,1017.8,False,44.8,177,1.0,21.7,57.1,1017.7,False,38.0,172,1.9,Practice,107.6761818181818,22.4,61.4,1018.6,0.0,42.7,211.0,1.0,23.7,59.7,1017.8,0.0,44.8,213.0,1.1,Qualifying,12.0,82.921,82.57,,2.083999999999989,23.3,66.9,1016.8,False,40.2,204,1.1,22.8,70.0,1016.7,False,34.4,158,1.7,Race,19.0,92.8329285714286,23.2,72.2,1015.5,False,42.9,237,0.9,23.4,70.1,1015.2,False,37.1,195,1.0,2019,
L NORRIS,4,McLaren,Practice,Melbourne,10,Australian Grand Prix,100.18225925925928,20.7,50.4,1019.7,False,31.6,156,1.5,21.3,52.2,1019.1,False,42.2,226,1.5,Practice,98.12472727272726,22.0,53.2,1017.8,False,44.8,177,1.0,21.7,57.1,1017.7,False,38.0,172,1.9,Practice,105.8265,22.4,61.4,1018.6,0.0,42.7,211.0,1.0,23.7,59.7,1017.8,0.0,44.8,213.0,1.1,Qualifying,8.0,82.702,82.423,82.304,1.8179999999999976,23.3,66.9,1016.8,False,40.2,204,1.1,22.8,70.0,1016.7,False,34.4,158,1.7,Race,12.0,90.79401754385964,23.2,72.2,1015.5,False,42.9,237,0.9,23.4,70.1,1015.2,False,37.1,195,1.0,2019,
S VETTEL,5,Ferrari,Practice,Melbourne,10,Australian Grand Prix,102.4632857142857,20.7,50.4,1019.7,False,31.6,156,1.5,21.3,52.2,1019.1,False,42.2,226,1.5,Practice,97.77993750000002,22.0,53.2,1017.8,False,44.8,177,1.0,21.7,57.1,1017.7,False,38.0,172,1.9,Practice,110.72722222222222,22.4,61.4,1018.6,0.0,42.7,211.0,1.0,23.7,59.7,1017.8,0.0,44.8,213.0,1.1,Qualifying,3.0,82.885,81.912,81.19,0.7039999999999935,23.3,66.9,1016.8,False,40.2,204,1.1,22.8,70.0,1016.7,False,34.4,158,1.7,Race,4.0,89.38679310344828,23.2,72.2,1015.5,False,42.9,237,0.9,23.4,70.1,1015.2,False,37.1,195,1.0,2019,
K RAIKKONEN,7,Alfa Romeo Racing,Practice,Melbourne,10,Australian Grand Prix,98.69392857142856,20.7,50.4,1019.7,False,31.6,156,1.5,21.3,52.2,1019.1,False,42.2,226,1.5,Practice,93.37413513513512,22.0,53.2,1017.8,False,44.8,177,1.0,21.7,57.1,1017.7,False,38.0,172,1.9,Practice,104.60673333333334,22.4,61.4,1018.6,0.0,42.7,211.0,1.0,23.7,59.7,1017.8,0.0,44.8,213.0,1.1,Qualifying,9.0,82.966,82.349,82.314,1.8279999999999887,23.3,66.9,1016.8,False,40.2,204,1.1,22.8,70.0,1016.7,False,34.4,158,1.7,Race,8.0,90.06507017543859,23.2,72.2,1015.5,False,42.9,237,0.9,23.4,70.1,1015.2,False,37.1,195,1.0,2019,
R GROSJEAN,8,Haas F1 Team,Practice,Melbourne,10,Australian Grand Prix,101.17592857142856,20.7,50.4,1019.7,False,31.6,156,1.5,21.3,52.2,1019.1,False,42.2,226,1.5,Practice,94.9256764705882,22.0,53.2,1017.8,False,44.8,177,1.0,21.7,57.1,1017.7,False,38.0,172,1.9,Practice,104.7572857142857,22.4,61.4,1018.6,0.0,42.7,211.0,1.0,23.7,59.7,1017.8,0.0,44.8,213.0,1.1,Qualifying,6.0,82.959,81.87,81.826,1.3399999999999892,23.3,66.9,1016.8,False,40.2,204,1.1,22.8,70.0,1016.7,False,34.4,158,1.7,Race,18.0,91.72075862068964,23.2,72.2,1015.5,False,42.9,237,0.9,23.4,70.1,1015.2,False,37.1,195,1.0,2019,
P GASLY,10,Red Bull Racing,Practice,Melbourne,10,Australian Grand Prix,103.32063157894736,20.7,50.4,1019.7,False,31.6,156,1.5,21.3,52.2,1019.1,False,42.2,226,1.5,Practice,95.98203571428571,22.0,53.2,1017.8,False,44.8,177,1.0,21.7,57.1,1017.7,False,38.0,172,1.9,Practice,102.91107142857145,22.4,61.4,1018.6,0.0,42.7,211.0,1.0,23.7,59.7,1017.8,0.0,44.8,213.0,1.1,Qualifying,17.0,83.02,,,2.533999999999992,23.3,66.9,1016.8,False,40.2,204,1.1,22.8,70.0,1016.7,False,34.4,158,1.7,Race,11.0,90.09640350877191,23.2,72.2,1015.5,False,42.9,237,0.9,23.4,70.1,1015.2,False,37.1,195,1.0,2019,
S PEREZ,11,Racing Point,Practice,Melbourne,10,Australian Grand Prix,101.65441176470588,20.7,50.4,1019.7,False,31.6,156,1.5,21.3,52.2,1019.1,False,42.2,226,1.5,Practice,95.21829032258064,22.0,53.2,1017.8,False,44.8,177,1.0,21.7,57.1,1017.7,False,38.0,172,1.9,Practice,100.8825625,22.4,61.4,1018.6,0.0,42.7,211.0,1.0,23.7,59.7,1017.8,0.0,44.8,213.0,1.1,Qualifying,10.0,82.908,82.532,82.781,2.2950000000000017,23.3,66.9,1016.8,False,40.2,204,1.1,22.8,70.0,1016.7,False,34.4,158,1.7,Race,13.0,90.80331578947369,23.2,72.2,1015.5,False,42.9,237,0.9,23.4,70.1,1015.2,False,37.1,195,1.0,2019,
C LECLERC,16,Ferrari,Practice,Melbourne,10,Australian Grand Prix,102.76115384615385,20.7,50.4,1019.7,False,31.6,156,1.5,21.3,52.2,1019.1,False,42.2,226,1.5,Practice,96.387875,22.0,53.2,1017.8,False,44.8,177,1.0,21.7,57.1,1017.7,False,38.0,172,1.9,Practice,106.1128888888889,22.4,61.4,1018.6,0.0,42.7,211.0,1.0,23.7,59.7,1017.8,0.0,44.8,213.0,1.1,Qualifying,5.0,82.017,81.739,81.442,0.9559999999999887,23.3,66.9,1016.8,False,40.2,204,1.1,22.8,70.0,1016.7,False,34.4,158,1.7,Race,5.0,89.40612068965518,23.2,72.2,1015.5,False,42.9,237,0.9,23.4,70.1,1015.2,False,37.1,195,1.0,2019,
L STROLL,18,Racing Point,Practice,Melbourne,10,Australian Grand Prix,98.74477272727272,20.7,50.4,1019.7,False,31.6,156,1.5,21.3,52.2,1019.1,False,42.2,226,1.5,Practice,94.85377142857143,22.0,53.2,1017.8,False,44.8,177,1.0,21.7,57.1,1017.7,False,38.0,172,1.9,Practice,103.4777857142857,22.4,61.4,1018.6,0.0,42.7,211.0,1.0,23.7,59.7,1017.8,0.0,44.8,213.0,1.1,Qualifying,16.0,83.017,,,2.5309999999999917,23.3,66.9,1016.8,False,40.2,204,1.1,22.8,70.0,1016.7,False,34.4,158,1.7,Race,9.0,90.07826315789472,23.2,72.2,1015.5,False,42.9,237,0.9,23.4,70.1,1015.2,False,37.1,195,1.0,2019,
K MAGNUSSEN,20,Haas F1 Team,Practice,Melbourne,10,Australian Grand Prix,99.22285,20.7,50.4,1019.7,False,31.6,156,1.5,21.3,52.2,1019.1,False,42.2,226,1.5,Practice,98.20747826086956,22.0,53.2,1017.8,False,44.8,177,1.0,21.7,57.1,1017.7,False,38.0,172,1.9,Practice,105.29266666666666,22.4,61.4,1018.6,0.0,42.7,211.0,1.0,23.7,59.7,1017.8,0.0,44.8,213.0,1.1,Qualifying,7.0,82.519,82.221,82.099,1.6129999999999995,23.3,66.9,1016.8,False,40.2,204,1.1,22.8,70.0,1016.7,False,34.4,158,1.7,Race,6.0,89.90484482758622,23.2,72.2,1015.5,False,42.9,237,0.9,23.4,70.1,1015.2,False,37.1,195,1.0,2019,
